frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.531,  0.98,  1, 0.00, 0.00, 2.02, 0.00, 0.00, 0.00, 0.00, 0.42, 0.00, 0.00, 0.38, 0.66, 0.14, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  1.674,  0.98,  1, 0.00, 0.00, 1.95, 0.00, 0.00, 0.00, 0.00, 0.70, 0.00, 0.00, 0.28, 0.70, 0.27, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  1.700,  0.98,  1, 0.06, 0.00, 1.87, 0.00, 0.00, 0.00, 0.00, 0.93, 0.00, 0.00, 0.26, 0.76, 0.27, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  1.794,  0.98,  1, 0.11, 0.04, 1.79, 0.00, 0.00, 0.00, 0.00, 0.99, 0.00, 0.00, 0.23, 0.81, 0.16, 0.07, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  1.823,  0.98,  1, 0.16, 0.04, 1.71, 0.00, 0.00, 0.00, 0.00, 1.05, 0.00, 0.00, 0.22, 0.86, 0.08, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  1.904,  0.98,  1, 0.15, 0.04, 1.64, 0.00, 0.00, 0.00, 0.00, 1.02, 0.00, 0.00, 0.14, 0.88, 0.05, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  1.935,  0.98,  1, 0.09, 0.00, 1.70, 0.00, 0.00, 0.00, 0.00, 1.01, 0.00, 0.00, 0.03, 0.92, 0.01, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  2.004,  0.98,  1, 0.04, 0.00, 1.84, 0.00, 0.00, 0.00, 0.00, 1.07, 0.00, 0.00, 0.03, 0.93, 0.01, 0.11, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  2.044,  0.98,  1, 0.00, 0.00, 1.93, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.10, 0.95, 0.12, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  2.096,  0.98,  1, 0.02, 0.00, 1.91, 0.00, 0.00, 0.00, 0.00, 0.90, 0.00, 0.00, 0.20, 0.97, 0.27, 0.06, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
